W,S,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,.,.,.,.,.,.,.,.,.,.,.,.,.,W,.,.,.,W,.,.,.,.,.,W
W,W,W,W,W,W,W,W,W,.,W,.,W,W,W,W,W,.,W,W,W,W,W,.,W
W,.,.,.,.,.,.,.,W,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,W
W,.,W,W,W,W,.,.,W,.,W,W,W,W,.,.,W,W,W,.,W,W,W,.,W
W,.,.,.,.,.,.,.,.,.,W,.,.,.,.,.,W,K,W,.,.,.,.,.,W
W,W,W,.,.,W,W,W,W,.,W,.,.,W,W,W,W,.,W,W,W,W,W,W,W
W,.,.,.,.,W,.,.,.,.,W,.,.,.,.,.,W,.,W,.,.,.,.,.,W
W,W,W,.,.,W,W,W,W,.,W,.,.,W,.,.,W,.,W,.,W,W,W,.,W
W,.,W,.,.,.,.,.,W,.,.,.,.,W,.,.,.,.,.,.,W,.,W,.,W
W,.,W,W,W,W,.,.,W,.,W,W,W,W,W,W,W,W,W,W,W,.,W,.,W
W,.,.,.,.,.,.,W,W,.,W,.,.,.,.,.,W,.,.,.,.,.,W,.,W
W,W,W,W,.,W,.,.,W,W,W,.,.,W,.,.,W,.,W,.,W,W,W,.,W
W,.,.,.,.,W,.,.,.,.,.,.,.,W,.,.,.,.,.,.,.,.,.,.,W
W,.,W,.,.,W,W,W,W,W,W,.,.,W,W,W,W,.,W,.,W,W,W,W,W
W,.,.,.,.,.,.,W,W,.,.,.,.,.,.,.,W,.,W,.,.,.,.,.,W
W,W,W,W,.,.,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,.,W
W,.,W,.,.,W,W,K,W,.,.,.,.,.,.,.,W,.,W,.,.,.,.,.,W
W,.,W,.,W,W,.,.,W,W,W,.,.,W,W,W,W,.,W,.,W,W,W,.,W
W,.,.,.,.,.,.,.,W,.,.,.,.,.,.,.,W,.,.,.,.,.,.,.,W
W,W,W,W,.,W,W,W,W,.,W,W,W,W,.,.,W,W,W,.,W,W,W,W,W
W,.,.,.,.,.,.,.,W,.,W,.,.,.,.,.,.,.,.,.,W,.,.,.,W
W,W,W,.,.,W,W,W,W,.,W,W,W,W,W,W,W,.,W,.,W,.,W,W,W
W,.,.,.,.,.,.,.,.,.,.,.,.,W,.,.,.,.,W,.,.,.,.,.,E
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
